cancer,model,repeat,test_c_index
BRCA,Cox-EN,1,0.7816
BRCA,Cox-nnet,1,0.7835
BRCA,SurvivalNet,1,0.737
BRCA,DeepSurv,1,0.7835
BRCA,DeepHit,1,0.6065
BRCA,Cox-EN,2,0.7465
BRCA,Cox-nnet,2,0.7672
BRCA,SurvivalNet,2,0.8337
BRCA,DeepSurv,2,0.773
BRCA,DeepHit,2,0.7452
BRCA,Cox-EN,3,0.5192
BRCA,Cox-nnet,3,0.716
BRCA,SurvivalNet,3,0.7283
BRCA,DeepSurv,3,0.7466
BRCA,DeepHit,3,0.5099
BRCA,Cox-EN,4,0.7465
BRCA,Cox-nnet,4,0.8173
BRCA,SurvivalNet,4,0.7768
BRCA,DeepSurv,4,0.761
BRCA,DeepHit,4,0.5924
BRCA,Cox-EN,5,0.7404
BRCA,Cox-nnet,5,0.7887
BRCA,SurvivalNet,5,0.7772
BRCA,DeepSurv,5,0.83
BRCA,DeepHit,5,0.6984
BRCA,Cox-EN,6,0.7815
BRCA,Cox-nnet,6,0.773
BRCA,SurvivalNet,6,0.7776
BRCA,DeepSurv,6,0.8125
BRCA,DeepHit,6,0.7609
BRCA,Cox-EN,7,0.7206
BRCA,Cox-nnet,7,0.7202
BRCA,SurvivalNet,7,0.7165
BRCA,DeepSurv,7,0.764
BRCA,DeepHit,7,0.5143
BRCA,Cox-EN,8,0.6316
BRCA,Cox-nnet,8,0.6807
BRCA,SurvivalNet,8,0.6712
BRCA,DeepSurv,8,0.7412
BRCA,DeepHit,8,0.5591
BRCA,Cox-EN,9,0.8441
BRCA,Cox-nnet,9,0.836
BRCA,SurvivalNet,9,0.7297
BRCA,DeepSurv,9,0.8352
BRCA,DeepHit,9,0.6952
BRCA,Cox-EN,10,0.7501
BRCA,Cox-nnet,10,0.7759
BRCA,SurvivalNet,10,0.7919
BRCA,DeepSurv,10,0.8076
BRCA,DeepHit,10,0.6527
BRCA,Cox-EN,11,0.7652
BRCA,Cox-nnet,11,0.7704
BRCA,SurvivalNet,11,0.7788
BRCA,DeepSurv,11,0.7177
BRCA,DeepHit,11,0.5616
BRCA,Cox-EN,12,0.7108
BRCA,Cox-nnet,12,0.8097
BRCA,SurvivalNet,12,0.7943
BRCA,DeepSurv,12,0.7985
BRCA,DeepHit,12,0.7568
BRCA,Cox-EN,13,0.709
BRCA,Cox-nnet,13,0.7655
BRCA,SurvivalNet,13,0.7327
BRCA,DeepSurv,13,0.7582
BRCA,DeepHit,13,0.6391
BRCA,Cox-EN,14,0.8143
BRCA,Cox-nnet,14,0.8095
BRCA,SurvivalNet,14,0.831
BRCA,DeepSurv,14,0.8286
BRCA,DeepHit,14,0.6802
BRCA,Cox-EN,15,0.676
BRCA,Cox-nnet,15,0.7232
BRCA,SurvivalNet,15,0.786
BRCA,DeepSurv,15,0.763
BRCA,DeepHit,15,0.4611
BRCA,Cox-EN,16,0.7607
BRCA,Cox-nnet,16,0.7537
BRCA,SurvivalNet,16,0.7035
BRCA,DeepSurv,16,0.7619
BRCA,DeepHit,16,0.6771
BRCA,Cox-EN,17,0.7138
BRCA,Cox-nnet,17,0.7962
BRCA,SurvivalNet,17,0.8232
BRCA,DeepSurv,17,0.8296
BRCA,DeepHit,17,0.5251
BRCA,Cox-EN,18,0.7514
BRCA,Cox-nnet,18,0.8004
BRCA,SurvivalNet,18,0.743
BRCA,DeepSurv,18,0.7778
BRCA,DeepHit,18,0.5937
BRCA,Cox-EN,19,0.6108
BRCA,Cox-nnet,19,0.7452
BRCA,SurvivalNet,19,0.7373
BRCA,DeepSurv,19,0.7166
BRCA,DeepHit,19,0.622
BRCA,Cox-EN,20,0.6774
BRCA,Cox-nnet,20,0.7778
BRCA,SurvivalNet,20,0.8118
BRCA,DeepSurv,20,0.8315
BRCA,DeepHit,20,0.6491
GBM,Cox-EN,1,0.6228
GBM,Cox-nnet,1,0.7068
GBM,SurvivalNet,1,0.6521
GBM,DeepSurv,1,0.6997
GBM,DeepHit,1,0.4717
GBM,Cox-EN,2,0.7188
GBM,Cox-nnet,2,0.6189
GBM,SurvivalNet,2,0.7033
GBM,DeepSurv,2,0.6251
GBM,DeepHit,2,0.5059
GBM,Cox-EN,3,0.6098
GBM,Cox-nnet,3,0.7593
GBM,SurvivalNet,3,0.7709
GBM,DeepSurv,3,0.7383
GBM,DeepHit,3,0.4528
GBM,Cox-EN,4,0.7051
GBM,Cox-nnet,4,0.7315
GBM,SurvivalNet,4,0.6439
GBM,DeepSurv,4,0.7669
GBM,DeepHit,4,0.5563
GBM,Cox-EN,5,0.5932
GBM,Cox-nnet,5,0.6188
GBM,SurvivalNet,5,0.5945
GBM,DeepSurv,5,0.6169
GBM,DeepHit,5,0.5338
GBM,Cox-EN,6,0.6687
GBM,Cox-nnet,6,0.6468
GBM,SurvivalNet,6,0.6521
GBM,DeepSurv,6,0.6448
GBM,DeepHit,6,0.5295
GBM,Cox-EN,7,0.6365
GBM,Cox-nnet,7,0.5836
GBM,SurvivalNet,7,0.5533
GBM,DeepSurv,7,0.6566
GBM,DeepHit,7,0.6398
GBM,Cox-EN,8,0.5748
GBM,Cox-nnet,8,0.7071
GBM,SurvivalNet,8,0.7129
GBM,DeepSurv,8,0.7335
GBM,DeepHit,8,0.5574
GBM,Cox-EN,9,0.5805
GBM,Cox-nnet,9,0.6069
GBM,SurvivalNet,9,0.6115
GBM,DeepSurv,9,0.5726
GBM,DeepHit,9,0.4499
GBM,Cox-EN,10,0.6512
GBM,Cox-nnet,10,0.6276
GBM,SurvivalNet,10,0.6238
GBM,DeepSurv,10,0.6906
GBM,DeepHit,10,0.7454
GBM,Cox-EN,11,0.6536
GBM,Cox-nnet,11,0.6894
GBM,SurvivalNet,11,0.7045
GBM,DeepSurv,11,0.6701
GBM,DeepHit,11,0.6123
GBM,Cox-EN,12,0.6634
GBM,Cox-nnet,12,0.6785
GBM,SurvivalNet,12,0.6142
GBM,DeepSurv,12,0.6306
GBM,DeepHit,12,0.458
GBM,Cox-EN,13,0.7617
GBM,Cox-nnet,13,0.6431
GBM,SurvivalNet,13,0.6334
GBM,DeepSurv,13,0.6276
GBM,DeepHit,13,0.5123
GBM,Cox-EN,14,0.6628
GBM,Cox-nnet,14,0.6314
GBM,SurvivalNet,14,0.6205
GBM,DeepSurv,14,0.6648
GBM,DeepHit,14,0.6348
GBM,Cox-EN,15,0.6688
GBM,Cox-nnet,15,0.6567
GBM,SurvivalNet,15,0.6574
GBM,DeepSurv,15,0.6618
GBM,DeepHit,15,0.5142
GBM,Cox-EN,16,0.6589
GBM,Cox-nnet,16,0.5878
GBM,SurvivalNet,16,0.6514
GBM,DeepSurv,16,0.6621
GBM,DeepHit,16,0.5979
GBM,Cox-EN,17,0.5888
GBM,Cox-nnet,17,0.6913
GBM,SurvivalNet,17,0.6044
GBM,DeepSurv,17,0.7056
GBM,DeepHit,17,0.6123
GBM,Cox-EN,18,0.6967
GBM,Cox-nnet,18,0.7475
GBM,SurvivalNet,18,0.6891
GBM,DeepSurv,18,0.7234
GBM,DeepHit,18,0.6853
GBM,Cox-EN,19,0.5993
GBM,Cox-nnet,19,0.6103
GBM,SurvivalNet,19,0.5897
GBM,DeepSurv,19,0.6083
GBM,DeepHit,19,0.6172
GBM,Cox-EN,20,0.6
GBM,Cox-nnet,20,0.614
GBM,SurvivalNet,20,0.63
GBM,DeepSurv,20,0.638
GBM,DeepHit,20,0.5153
OV,Cox-EN,1,0.6297
OV,Cox-nnet,1,0.6861
OV,SurvivalNet,1,0.5991
OV,DeepSurv,1,0.6571
OV,DeepHit,1,0.5157
OV,Cox-EN,2,0.6472
OV,Cox-nnet,2,0.6013
OV,SurvivalNet,2,0.6193
OV,DeepSurv,2,0.4794
OV,DeepHit,2,0.5979
OV,Cox-EN,3,0.677
OV,Cox-nnet,3,0.6865
OV,SurvivalNet,3,0.6522
OV,DeepSurv,3,0.7203
OV,DeepHit,3,0.5456
OV,Cox-EN,4,0.6366
OV,Cox-nnet,4,0.6393
OV,SurvivalNet,4,0.6178
OV,DeepSurv,4,0.6506
OV,DeepHit,4,0.5483
OV,Cox-EN,5,0.6238
OV,Cox-nnet,5,0.6568
OV,SurvivalNet,5,0.5471
OV,DeepSurv,5,0.6345
OV,DeepHit,5,0.4963
OV,Cox-EN,6,0.7205
OV,Cox-nnet,6,0.7678
OV,SurvivalNet,6,0.6996
OV,DeepSurv,6,0.6779
OV,DeepHit,6,0.5019
OV,Cox-EN,7,0.6413
OV,Cox-nnet,7,0.6238
OV,SurvivalNet,7,0.6322
OV,DeepSurv,7,0.5365
OV,DeepHit,7,0.4642
OV,Cox-EN,8,0.6683
OV,Cox-nnet,8,0.6641
OV,SurvivalNet,8,0.6651
OV,DeepSurv,8,0.4694
OV,DeepHit,8,0.4779
OV,Cox-EN,9,0.5633
OV,Cox-nnet,9,0.6386
OV,SurvivalNet,9,0.624
OV,DeepSurv,9,0.6327
OV,DeepHit,9,0.5184
OV,Cox-EN,10,0.5876
OV,Cox-nnet,10,0.6076
OV,SurvivalNet,10,0.5608
OV,DeepSurv,10,0.6292
OV,DeepHit,10,0.588
OV,Cox-EN,11,0.6541
OV,Cox-nnet,11,0.6469
OV,SurvivalNet,11,0.6442
OV,DeepSurv,11,0.6842
OV,DeepHit,11,0.4876
OV,Cox-EN,12,0.5844
OV,Cox-nnet,12,0.6309
OV,SurvivalNet,12,0.6236
OV,DeepSurv,12,0.6495
OV,DeepHit,12,0.608
OV,Cox-EN,13,0.6236
OV,Cox-nnet,13,0.6456
OV,SurvivalNet,13,0.6415
OV,DeepSurv,13,0.6489
OV,DeepHit,13,0.5283
OV,Cox-EN,14,0.6089
OV,Cox-nnet,14,0.6173
OV,SurvivalNet,14,0.6169
OV,DeepSurv,14,0.6498
OV,DeepHit,14,0.5479
OV,Cox-EN,15,0.6817
OV,Cox-nnet,15,0.7325
OV,SurvivalNet,15,0.7088
OV,DeepSurv,15,0.7156
OV,DeepHit,15,0.6272
OV,Cox-EN,16,0.601
OV,Cox-nnet,16,0.6635
OV,SurvivalNet,16,0.6727
OV,DeepSurv,16,0.6524
OV,DeepHit,16,0.5614
OV,Cox-EN,17,0.5723
OV,Cox-nnet,17,0.5743
OV,SurvivalNet,17,0.5658
OV,DeepSurv,17,0.6516
OV,DeepHit,17,0.505
OV,Cox-EN,18,0.6595
OV,Cox-nnet,18,0.6286
OV,SurvivalNet,18,0.5765
OV,DeepSurv,18,0.7023
OV,DeepHit,18,0.4463
OV,Cox-EN,19,0.5605
OV,Cox-nnet,19,0.7437
OV,SurvivalNet,19,0.6389
OV,DeepSurv,19,0.6429
OV,DeepHit,19,0.5274
OV,Cox-EN,20,0.6496
OV,Cox-nnet,20,0.6791
OV,SurvivalNet,20,0.7059
OV,DeepSurv,20,0.6409
OV,DeepHit,20,0.5413
LUNG,Cox-EN,1,0.6709
LUNG,Cox-nnet,1,0.7112
LUNG,SurvivalNet,1,0.7038
LUNG,DeepSurv,1,0.7042
LUNG,DeepHit,1,0.6024
LUNG,Cox-EN,2,0.5936
LUNG,Cox-nnet,2,0.7346
LUNG,SurvivalNet,2,0.7644
LUNG,DeepSurv,2,0.7507
LUNG,DeepHit,2,0.6926
LUNG,Cox-EN,3,0.6274
LUNG,Cox-nnet,3,0.6505
LUNG,SurvivalNet,3,0.625
LUNG,DeepSurv,3,0.6596
LUNG,DeepHit,3,0.5557
LUNG,Cox-EN,4,0.6747
LUNG,Cox-nnet,4,0.7194
LUNG,SurvivalNet,4,0.7638
LUNG,DeepSurv,4,0.7342
LUNG,DeepHit,4,0.5072
LUNG,Cox-EN,5,0.6696
LUNG,Cox-nnet,5,0.6987
LUNG,SurvivalNet,5,0.6658
LUNG,DeepSurv,5,0.7378
LUNG,DeepHit,5,0.612
LUNG,Cox-EN,6,0.6623
LUNG,Cox-nnet,6,0.7845
LUNG,SurvivalNet,6,0.6882
LUNG,DeepSurv,6,0.7509
LUNG,DeepHit,6,0.5164
LUNG,Cox-EN,7,0.6877
LUNG,Cox-nnet,7,0.6922
LUNG,SurvivalNet,7,0.6926
LUNG,DeepSurv,7,0.695
LUNG,DeepHit,7,0.6225
LUNG,Cox-EN,8,0.6327
LUNG,Cox-nnet,8,0.7142
LUNG,SurvivalNet,8,0.6773
LUNG,DeepSurv,8,0.7599
LUNG,DeepHit,8,0.6681
LUNG,Cox-EN,9,0.6619
LUNG,Cox-nnet,9,0.6864
LUNG,SurvivalNet,9,0.6915
LUNG,DeepSurv,9,0.7258
LUNG,DeepHit,9,0.5946
LUNG,Cox-EN,10,0.6434
LUNG,Cox-nnet,10,0.7192
LUNG,SurvivalNet,10,0.7086
LUNG,DeepSurv,10,0.7164
LUNG,DeepHit,10,0.6618
LUNG,Cox-EN,11,0.6231
LUNG,Cox-nnet,11,0.6737
LUNG,SurvivalNet,11,0.6486
LUNG,DeepSurv,11,0.6656
LUNG,DeepHit,11,0.6251
LUNG,Cox-EN,12,0.6466
LUNG,Cox-nnet,12,0.692
LUNG,SurvivalNet,12,0.6841
LUNG,DeepSurv,12,0.7553
LUNG,DeepHit,12,0.5663
LUNG,Cox-EN,13,0.7364
LUNG,Cox-nnet,13,0.7853
LUNG,SurvivalNet,13,0.7014
LUNG,DeepSurv,13,0.783
LUNG,DeepHit,13,0.7465
LUNG,Cox-EN,14,0.5446
LUNG,Cox-nnet,14,0.5751
LUNG,SurvivalNet,14,0.6095
LUNG,DeepSurv,14,0.6618
LUNG,DeepHit,14,0.5864
LUNG,Cox-EN,15,0.6202
LUNG,Cox-nnet,15,0.7172
LUNG,SurvivalNet,15,0.6794
LUNG,DeepSurv,15,0.7348
LUNG,DeepHit,15,0.6767
LUNG,Cox-EN,16,0.6465
LUNG,Cox-nnet,16,0.7021
LUNG,SurvivalNet,16,0.7199
LUNG,DeepSurv,16,0.7333
LUNG,DeepHit,16,0.5746
LUNG,Cox-EN,17,0.6883
LUNG,Cox-nnet,17,0.7064
LUNG,SurvivalNet,17,0.7156
LUNG,DeepSurv,17,0.722
LUNG,DeepHit,17,0.6863
LUNG,Cox-EN,18,0.6134
LUNG,Cox-nnet,18,0.6323
LUNG,SurvivalNet,18,0.6278
LUNG,DeepSurv,18,0.674
LUNG,DeepHit,18,0.6619
LUNG,Cox-EN,19,0.6333
LUNG,Cox-nnet,19,0.6808
LUNG,SurvivalNet,19,0.6477
LUNG,DeepSurv,19,0.7272
LUNG,DeepHit,19,0.5643
LUNG,Cox-EN,20,0.6527
LUNG,Cox-nnet,20,0.7134
LUNG,SurvivalNet,20,0.6186
LUNG,DeepSurv,20,0.7436
LUNG,DeepHit,20,0.6033
OV,RCoxNet,1,0.6723
OV,RCoxNet,2,0.7026
OV,RCoxNet,3,0.6279
OV,RCoxNet,4,0.7102
OV,RCoxNet,5,0.7174
OV,RCoxNet,6,0.6598
OV,RCoxNet,7,0.6571
OV,RCoxNet,8,0.7145
OV,RCoxNet,9,0.6226
OV,RCoxNet,10,0.6839
OV,RCoxNet,11,0.6511
OV,RCoxNet,12,0.7085
OV,RCoxNet,13,0.7248
OV,RCoxNet,14,0.6733
OV,RCoxNet,15,0.6102
OV,RCoxNet,16,0.6082
OV,RCoxNet,17,0.6604
OV,RCoxNet,18,0.6553
OV,RCoxNet,19,0.6222
OV,RCoxNet,20,0.6821
LUNG,RCoxNet,1,0.8015
LUNG,RCoxNet,2,0.7525
LUNG,RCoxNet,3,0.7434
LUNG,RCoxNet,4,0.7968
LUNG,RCoxNet,5,0.7297
LUNG,RCoxNet,6,0.7232
LUNG,RCoxNet,7,0.6987
LUNG,RCoxNet,8,0.7359
LUNG,RCoxNet,9,0.7234
LUNG,RCoxNet,10,0.7208
LUNG,RCoxNet,11,0.8379
LUNG,RCoxNet,12,0.741
LUNG,RCoxNet,13,0.7273
LUNG,RCoxNet,14,0.7963
LUNG,RCoxNet,15,0.7486
LUNG,RCoxNet,16,0.7798
LUNG,RCoxNet,17,0.6977
LUNG,RCoxNet,18,0.7642
LUNG,RCoxNet,19,0.7952
LUNG,RCoxNet,20,0.6875
GBM,RCoxNet,1,0.643
GBM,RCoxNet,2,0.7473
GBM,RCoxNet,3,0.731
GBM,RCoxNet,4,0.7341
GBM,RCoxNet,5,0.6964
GBM,RCoxNet,6,0.688
GBM,RCoxNet,7,0.6918
GBM,RCoxNet,8,0.6648
GBM,RCoxNet,9,0.7181
GBM,RCoxNet,10,0.6806
GBM,RCoxNet,11,0.6531
GBM,RCoxNet,12,0.7434
GBM,RCoxNet,13,0.7128
GBM,RCoxNet,14,0.7087
GBM,RCoxNet,15,0.8284
GBM,RCoxNet,16,0.654
GBM,RCoxNet,17,0.6814
GBM,RCoxNet,18,0.718
GBM,RCoxNet,19,0.6827
GBM,RCoxNet,20,0.7049
BRCA,RCoxNet,1,0.8329
BRCA,RCoxNet,2,0.8382
BRCA,RCoxNet,3,0.7856
BRCA,RCoxNet,4,0.8542
BRCA,RCoxNet,5,0.7596
BRCA,RCoxNet,6,0.8108
BRCA,RCoxNet,7,0.882
BRCA,RCoxNet,8,0.8166
BRCA,RCoxNet,9,0.775
BRCA,RCoxNet,10,0.7477
BRCA,RCoxNet,11,0.7878
BRCA,RCoxNet,12,0.852
BRCA,RCoxNet,13,0.8326
BRCA,RCoxNet,14,0.8263
BRCA,RCoxNet,15,0.7481
BRCA,RCoxNet,16,0.8914
BRCA,RCoxNet,17,0.7738
BRCA,RCoxNet,18,0.7701
BRCA,RCoxNet,19,0.7366
BRCA,RCoxNet,20,0.8274
